Age Range,Industry,Job Title,Annual Salary,Additional Monetary Compensation,Currency,Country,State,City,Years of Professional Experience Overall,Years of Professional Experience in Field,Highest Level of Education Completed,Gender
35-44,Nonprofits,Communications & Marketing Manager,65000,5000,CAD,Canada,Unknown,Toronto,11 - 20 years,8 - 10 years,College degree,Woman
35-44,Sales,Inside Account Manager 3,94000,15000,USD,United States,Tennessee,Nashville ,11 - 20 years,8 - 10 years,College degree,Woman
45-54,Government and Public Administration,Election Technology Manager,41000,0,USD,United States,Ohio,Undisclosed,5-7 years,1 year or less,College degree,Man
25-34,Computing or Tech,Field Services Technician ,49920,10000,USD,United States,Massachusetts,Springfield ,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Education (Higher Education),Registrar,87000,12000,USD,United states,Idaho,Meridian,11 - 20 years,11 - 20 years,Some college,Woman
45-54,Transport or Logistics,IT PROJECT MANAGER,100000,15000,USD,United States,Arizona,Phoenix ,21 - 30 years,5-7 years,Some college,Woman
25-34,Nonprofits,Disaster Program Manager,51000,0,USD,United States,Idaho,Lewiston,5-7 years,5-7 years,Master's degree,Woman
45-54,"Accounting, Banking & Finance",Branch manager,75000,300000,USD,United States,Washington,Lynnwood ,21 - 30 years,21 - 30 years,High School,Woman
45-54,"Accounting, Banking & Finance",Accountant,54000,16000,USD,United States,Missouri,Kansas City,21 - 30 years,11 - 20 years,Some college,Woman
25-34,Nonprofits,HR & Benefits Coordinator ,54000,0,USD,United States,Massachusetts,Boston,5-7 years,2 - 4 years,College degree,Woman
35-44,Health care,Nurse Manager,72000,0,USD,United States,Tennessee,Murfreesboro ,21 - 30 years,11 - 20 years,College degree,Woman
25-34,Health care,Safety Specialist,78000,3000,USD,United States ,North Carolina,Wilmington ,5-7 years,5-7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Engineering Business Analyst,82000,5000,USD,United States,Massachusetts,Greater Boston,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Entertainment,Marketing Manager,50000,0,USD,United States,New York,New York,5-7 years,5-7 years,College degree,Woman
35-44,Education (Higher Education),Assistant Director,75000,0,USD,United States,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Health care,Pharmacist,139000,4000,USD,United States,Connecticut,Bridgeport,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Health care,Manager II Rehab Services,98000,2000,USD,United States,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Staff accountant ,43000,2000,USD,United States,Texas,Denton,5-7 years,1 year or less,College degree,Woman
35-44,Education (Primary/Secondary),High school teacher,52700,1000,USD,United States,Louisiana,Zachary,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
18-24,Computing or Tech,Rotational Analyst,85000,8000,USD,United States ,New York,New York City,2 - 4 years,1 year or less,College degree,Woman
35-44,Education (Higher Education),Administrative Assistant IV,45760,0,USD,United States,New Hampshire,Lebanon ,21 - 30 years,11 - 20 years,Master's degree,Woman
