JobTitle,Experience_Level,Total_Compensation
"Circulation Supervisor","8 - 10 years",65984
CISO,"21 - 30 years",225000
"City Clerk","11 - 20 years",54250
"City Planner","8 - 10 years",158000
"city planner ","21 - 30 years",99000
"City Research Scientist","5-7 years",86000
"City Research Scientist II","5-7 years",87000
"Civic Engagement Manager ","11 - 20 years",72000
"Civil / Environmental Engineer","11 - 20 years",69000
"Civil Designer ","5-7 years",74600
"Civil Engineer","11 - 20 years",398000
